a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
287,4.709999949,5252.122894,2,10,9,22.70555556,90.79444444,1115.100414
288,4.469999999,2470.922623,2,10,9,22.6975,90.79444444,552.7791104
289,4.339999974,3046.001871,2,10,9,22.7125,90.7825,701.8437533
290,2.829999954,1930.505966,2,10,9,22.72666667,90.78472222,682.1575964
291,4.439999998,4388.045715,2,10,9,22.72694444,90.78444444,988.2985851
292,5.059999943,2717.619009,2,10,9,22.7275,90.77305556,537.0788616
293,2.629999936,3600.357147,2,10,9,22.74666667,90.75861111,1368.957124
294,3.599999994,3184.773861,2,10,9,22.75583333,90.73388889,884.6594073
295,2.669999957,3054.761871,2,10,9,22.75305556,90.75777778,1144.105588
296,1.899999976,3376.349253,2,10,9,22.75138889,90.76083333,1777.025945
297,3.719999969,2969.726292,2,10,9,22.74305556,90.83361111,798.3135259
298,1.539999962,2572.886902,2,10,9,22.75333333,90.76805556,1670.705822
299,2.919999957,1428.035736,2,10,9,22.75555556,90.78027778,489.0533415
300,NA,0,2,10,9,22.74805556,90.77861111,NA
301,3.139999986,2983.892851,2,10,9,22.32611111,90.81805556,950.2843517
302,NA,0,2,10,9,22.24944444,90.72861111,NA
303,5.729999989,4326.404877,2,10,9,22.08777778,90.82055556,755.0444825
304,3.129999936,3450.726133,2,10,9,22.26138889,90.73722222,1102.468436
305,2.229999959,3183.630861,2,10,9,22.25666667,90.68916667,1427.637183
306,NA,0,2,10,9,22.31833333,90.75972222,NA
307,2.769999921,3055.863174,2,10,9,22.34361111,90.78138889,1103.199733
308,3.909999967,2210.882965,2,10,9,22.11888889,90.80527778,565.4432184
309,3.019999981,3000.654724,2,10,9,22.25472222,90.67555556,993.5942858
310,1.99000001,2547.678547,2,10,9,22.33888889,90.78333333,1280.24047
311,2.319999993,2947.063526,2,10,9,22.12805556,90.77305556,1270.286007
312,NA,0,2,10,9,22.10277778,90.89861111,NA
313,2.280000031,2167.737986,2,10,9,22.09777778,90.88583333,950.7622615
314,3.199999988,2128.833328,2,10,9,22.09527778,90.87722222,665.2604176
315,2.659999996,3272.127991,2,10,9,22.11583333,90.84138889,1230.123306
316.1,3.029999971,3801.979158,2,10,9,22.12805556,90.88055556,1254.778612
316.2,2.689999968,3156.815453,2,10,9,22.12666667,90.89472222,1173.537357
316.3,2.309999973,2806.488176,2,10,9,22.09833333,90.89222222,1214.929961
317,2.720000029,2613.961349,2,10,9,22.16111111,90.86444444,961.0151919
318,2.309999973,2273.854153,2,10,9,22.22555556,90.88333333,984.3524587
319,1.50999999,1777.738071,2,10,9,22.25472222,90.84277778,1177.309988
320,1.290000021,2511.130936,2,10,9,22.17388889,90.80333333,1946.613096
321,2.529999971,1597.956367,2,10,9,22.68111111,90.81916667,631.6033145
322,6.139999896,5861.949429,2,10,9,22.67388889,90.83111111,954.7149068
323,3.549999952,3364.196354,2,10,9,22.66138889,90.82388889,947.6609575
324,5.439999908,6288.616058,2,10,9,22.64722222,90.8375,1155.995618
325,5.26000005,3466.458344,2,10,9,22.63527778,90.85,659.0224925
326,3.329999983,2793.243977,2,10,9,22.88388889,90.89194444,838.8120092
327,0.610000014,1218.273764,2,10,9,22.87305556,90.87333333,1997.170058
328,3.349999964,3536.160738,2,10,9,22.67888889,90.81583333,1055.570381
329.1,4.119999975,3110.833511,2,10,9,22.67111111,90.80805556,755.0566821
329.2,2.309999973,2530.525843,2,10,9,22.67111111,90.80805556,1095.465746
330,1.290000021,4978.749798,2,10,9,22.68,90.78611111,3859.495903
331,4.379999936,2606.636745,2,10,9,22.66444444,90.77527778,595.1225534
332,6.48999995,5940.939359,2,10,9,22.66305556,90.78166667,915.3989838
333,3.569999933,3492.797577,2,10,9,22.87055556,90.81888889,978.3746897
334,4.569999993,4130.624969,2,10,9,22.82944444,90.81,903.8566687
335,2.75,2792.363052,2,10,9,22.81611111,90.80416667,1015.404746
336,NA,0,2,10,9,22.81916667,90.80166667,NA
337,4.519999951,3241.825378,2,10,9,22.79833333,90.795,717.2180118
338,4.629999936,3478.313519,2,10,9,22.79277778,90.80527778,751.25563
339,3.73999992,2603.702444,2,10,9,22.81444444,90.81722222,696.177139
340,2.909999967,3465.654765,2,10,9,22.84222222,90.8425,1190.946668
341,2.109999955,2368.083346,3,10,9,22.40277778,91.0725,1122.314406
342,2.859999955,1724.583328,3,10,9,22.34388889,91.07055556,603.0011733
343,2.349999964,1654.999989,3,10,9,22.43277778,91.22972222,704.255325
344,NA,0,3,10,9,22.44444444,91.20444444,NA
345,2.199999988,2215.257935,3,10,9,22.47972222,91.03888889,1006.93543
346,3.079999954,2417.976208,3,10,9,22.48416667,91.10111111,785.0572222
347,4.539999902,4248.264931,3,10,9,22.48472222,91.07694444,935.7411943
348,3.529999912,2526.130951,3,10,9,22.51722222,91.06416667,715.617851
349,3.099999934,2289.47023,3,10,9,22.54111111,91.03388889,738.5387995
350,3.149999976,2590.5952,3,10,9,22.28694444,91.03805556,822.4111807
351,3.49999994,2509.508957,3,10,9,22.30222222,91.06666667,717.0025713
352,2.629999936,3653.670616,3,10,9,22.3075,91.09027778,1389.228405
353,2.729999959,2193.080432,3,10,9,22.48333333,91.03416667,803.3261776
354,5.639999986,4852.023773,3,10,9,22.4675,91.04944444,860.2879052
355,2.779999971,2325.892862,3,10,9,22.48166667,91.04944444,836.6521174
356,1.639999986,2052.619091,3,10,9,22.47833333,91.11444444,1251.597018
357,2.49999994,1567.30159,3,10,9,22.46722222,91.11666667,626.9206509
358,3.199999988,3578.654806,3,10,9,22.44444444,91.09833333,1118.329631
359,0.610000014,981.6666565,3,10,9,22.43222222,91.12694444,1609.289563
360,2.929999948,2947.1726,3,10,9,22.47583333,91.14472222,1005.860974
